year,title,inventor_estimates,location_estimates,description
1880,Electromechanical Calculator,"['Herman Hollerith', 'Hollerith', 'Babbage', 'Hollerith Hollerith']","['American', 'American Jacquard', 'Babbage']","The American census was growing more and more elaborate. There were more and more people, and more and more questions were being asked of each person. The information gathered was so voluminous that it took literally years to

sort it.

An American inventor, Herman Hollerith (1860— 1929), who worked for the census, thought there might be a better way of handling the data, and beginning in 1880, he set about the task.

He made use of punch cards after the fashion of Jacquard (see 1801) and Babbage (see 1822). Each card could be punched to represent data gathered in

the census: holes in appropriate places could represent sex, age, occupation, and so on.

In order to add up and analyze all this information, the cards were placed on a stand and a metal device was pressed down against them. The device had many pins, which would be stopped by the cardboard. Wherever there was a hole, however, a pin would go through and reach a pool of mercury underneath. Electricity would pass through that pin and control the pointer on a dial. As the punch cards were sent rapidly through the machine, it was only necessary for people to record the numbers indicated on the dial.

What made all the difference between Hollerith and Babbage was that Hollerith had the use of electricity. He had developed an electromechanical calculator, and not merely a mechanical one.

Eventually, Hollerith founded a company devoted to making all kinds of machines that could handle and analyze information. That company developed into the International Business Machines Corporation, usually known simply as IBM.

"
1880,Charged Cathode Rays,"['Goldstein', 'Geissler', 'Crookes']",['Crookes'],"There was some question about the nature of the cathode rays to which Goldstein had given a name (see 1876). Most of the reported observations could be explained equally well by supposing cathode rays to be either a form of electromagnetic radiation, like light, or a stream of particles.

The matter was investigated by Crookes (see 1861), who in 1875 had devised a vacuum tube that was even better than Geissler’s (see 1855).

In 1880, using his own Crookes tube, he showed that cathode rays traveled in straight lines and cast sharp shadows. The radiation could even turn a small wheel, which it struck on one side. This still left the nature of the rays uncertain.

But then Crookes showed that a magnet would cause cathode rays to curve in their path, and from the manner of curving, it seemed quite certain that they carried a negative electric charge. Since there seemed no way electromagnetic waves could carry such a charge, Crookes concluded that cathode rays were actually a stream of

LT

electrically charged particles.

That decision held up in all subsequent studies.

"
1880,High Pressure,['Emile Hilaire Amagat'],"['Boyle', 'French']","Scientists starting with Boyle (see 1662) had used pressure to study the compression of gases or, as Faraday had, to bring about the liquefaction of gases (see 1823).

A French physicist, Emile Hilaire Amagat (1841-1915), was the first, though, to attempt to reach really high pressures and study the behavior of materials under those conditions. He began his experiments in 1880 and

soon managed to attain a pressure equal to 3,000 atmospheres. It set a record and laid the groundwork for further work in decades to come at still more extreme pressures.

"
1880,Piezoelectricity,"['Pierre Curie', 'Curie']","['French', 'Greek']","In 1880 a French chemist, Pierre Curie (1859-1906), noted that if a crystal of quartz was placed under pressure, an electric potential appeared across it. If, in reverse, the crystal was subjected to an electric potential, it would compress as though under pressure. If the electric potential changed rapidly, the crystal would compress and ex-

pand in time with the change, and the vibration of the crystal would set up sound waves that oscillated too rapidly to be heard. Curie had thus discovered a way of producing ultrasonic vibrations.

The manner in which this is done—the interaction of pressure and electric potentials—is known as piezoelectricity, where piezo comes from the Greek word for “pressure.” Crystals with piezoelectric properties came to form an essential portion of soundelectronic devices such as microphones and record players.  1881

"
1880,Interferometer,"['Albert Abraham Michelson', 'Michelson', 'Aristotle', 'Earth', 'Michelson Farth', 'Earth Michelson']","['American', 'Maxwell', 'Latin', 'Earth']","In 1881 a German-born American physicist, Albert Abraham Michelson (1852— 1931), devised an interferometer, with the financial help of Bell, who had invented the telephone five years before (see 1876). This device acted to split a beam of light in two, send the parts along different paths, then bring them

back together—a way of treating light that Maxwell (see 1855) had suggested six years before. Then, no one had had an instrument capable of the job; now Michelson had one.

If the two portions of the light traveled precisely the same distance at the same speed, they would then come back together in phase, and the light would be unchanged, If their dis-

tance or speed were slightly different, however, the two beams would be slightly out of phase when they rejoined, and interference fringes should be set up such as those Young had detected and used to prove the wave nature of light (see 1801)

At this time, it was thought that light, being a wave, had to be a wave of something. Consequently, it was supposed that all space was filled with a luminiferous ether. (The word luminiferous is from Latin, meaning ‘‘light-carrying,” and erher harks back to Aristotle’s aether—see 350 B.C., Five Elements.) This luminiferous ether was thought to be in a state of absolute rest, and the Earth was thought to be moving at some particular speed relative to it, called Earth's absolute motion.

Michelson used his interlerometer to measure Farth's absolute motion by sending two halves of a light beam traveling at right angles to each other. Light sent in the direction of Earth’s motion through

the ether and back again ought to complete its trip little sooner than light tray-

o g

eling at right angles to the motion and back. Therefore the two halves of the light should rejoin out of phase, and by measuring the width of the interference fringes, one should be able to measure the speed of Earth relative to ether. Once that was known, the absolute motion of all other bodies should follow. However, the experiment failed. No interference fringes were found. Michelson assumed there was something wrong with the experiment and set about refining it. It took years before he was satisfied that there truly were no interference fringes. That observation helped revolutionize science.

"
1880,Anthrax Inoculation,"['Jenner', 'Pasteur', 'Pasteur Pasteur', 'Koch']",['Jenner'],"It had been three-quarters of a century since Jenner had successfully prevented smallpox by inoculating people with cowpox, a much milder disease that conferred immunity to the

more serious one (see 1796).

This feat could not be repeated in other cases because other serious diseases did not seem to have milder cousins. Pasteur decided, however, that one

might be able to manufacture those milder cousins in the laboratory.

Pasteur studied the deadly disease anthrax, which ravaged herds of domestic animals. Koch (see 1876) had reported observing the bacteria responsible for the disease. Pasteur confirmed Koch's finding and showed that the germs sometimes survived in the ground as heat-resistant spores for long periods of time. It was therefore necessary to kill all infected animals and bury them deep.

If an animal did survive anthrax, however, it was immune thereafter. Pasteur therefore prepared cultures of anthrax germs and heated them. In this way, he destroyed the activity and virulence of the germs but left an “attenuated"" preparation that could still produce immunity against anthrax.

In 1881 he carried through a dramatic experiment. Some sheep were inoculated with his attenuated germs; others were not. After a time, all the sheep seemed healthy, but when they were injected with deadly anthrax germs, those that had been inoculated lived; those that had not been inoculated died.

Pasteur, in tribute to Jenner, called the process vaccination, even though the disease vaccinia was not involved.

"
1880,Pneumococcus,['George Miller Sternberg'],"['American', 'Greek']","The physician George Miller Sternberg (1838— 1915) was the American pioneer in bacteriology. In 1881 he isolated the bacterium that caused pneumonia. It was a small

spherical bacterium of the kind called coccus (from a Greek word meaning “seed”). The pneumoniacausing bacterium

was therefore called preumococcus.

"
1880,Venn Diagram,"['John Venn', 'Venn', 'Boole']","['British', 'Boole']","In 1881 the British mathematician John Venn (1834—1923) extended the work of Boole on symbolic logic (see 1847), by representing logical statements as intersecting circles (Venn diagrams).

Such circles made it easier to handle statements like “All A are B""” or “Some A are B” or “A can be B or C but not both.” If Boole's work was a kind of algebraic logic, Venn's was geometric logic.  1882

"
1880,Chromatin,"['Perkin', 'Eduard Adolf Strasburger', 'Walther Flemming', 'Nucleus']","['German', 'Greek', 'German Greek', 'Greek Greek', 'Greek Mendel']","Studies of the intimate details of cellular structure through the microscope were hampered by the fact that the cell is transparent, so that the inner structure can ordinarily only be seen as gray on gray.

Perkin, however, had produced the first synthetic dye a quarter-century before (see 1856), and since then many others had been produced. It was possible that a dye might combine with some intracellular structures but not with others. In that case, the affected structures would stand out in bright colors

It was in this way that the German botanist Eduard Adolf Strasburger

(1844—1912) was able to observe some of the changes that took place during cell division among plants. In 1882 Strasburger divided protoplasm into two regions, one inside the nucleus, which he called nucleoplasm, and the other outside the nucleus, which he called cytoplasm (the prefix eyto- is from the Greek word for “cell”). These words, especially cytoplasm, are now common among biologists.

Much more thorough studies were made by the German anatomist Walther Flemming (1843-1905). He used a dye that combined with a material inside the nucleus that he called ¢hromatin, from the Greek word for “color.”

When he dyed a section of growing tissue, cells were caught at different stages of division. The cells were killed by the dye, of course, so that all cell divisions were stopped. What he saw, therefore, was a series of “stills” all jumbled together. Given enough observations, however, he could arrange the various stages in order and deduce what was happening.

As the proces vision began, the chromatin collected into short, threadlike objects, which eventually came to be called chromosomes (from

of cell di-

Greek words meaning

“colored bod Because

these threadlike chromosomes were so characteristic a feature of cell division,

e

Flemming named the process jmitosis, from a Greek word for ""thread.”

As cell division proceeded, the chromosomes doubled in number. Then came what seemed the crucial step: the chromosomes, entangled in the fine threads of a structure that Flemming named the aster (Greek for ""star’”’), were pulled apart, half going to one end of the cell and half to the other. The cell then divided, and the two offspring were each left with an equal supply of chromatin. Because the chromosomes had doubled before the division, each offspring had as much chromatin as the original undivided cell.

Flemming summarized his observations in Cell Substance, Nucleus, and Cell Division, which was published in 1882.

All this was of the highest significance, but scientists failed to draw the proper conclusions, because they didn’t know of Mendel's genetic work (see 1865).

"
1880,Speed of Light,"['Foucault', 'Foucault Michelson']",['Michelson'],"Since Foucault’s determination of the speed of light (see 1849), no one had succeeded in bettering the figure.

However, Michelson (the inventor of the inter-

ferometer—see 1881), measured the speed of light in 1882 and reported it to be 186,320 miles per second. This was over a thousand miles per second faster than Foucault had reported, and Michelson's value was the more accurate. In fact, it was less than 40 miles per second above the value that is currently accepted.

"
1880,Diffraction Gratings,['Henry Augustus Rowland'],"['Fraunhofer', 'American', 'Rowland']","Fraunhofer had been the first to use diffraction gratings for the formation of light spectra (see 1820). Diffraction gratings would form far better spectra, which much sharper lines, than prisms would, if the parallel scratches on glass or metal were fine enough and numerous enough.

The American physicist Henry Augustus Rowland (1848—1901) had devised a method for preparing gratings of unexampled fineness, and in 1882, he prepared a grating in which there were almost 15,000 lines per inch. Eventually, using gratings such as these, Rowland could prepare a map of the solar spectrum in which the precise wavelengths of some 14,000 spectral lines were given.

"
1883,Tuberculosis,"['Koch', 'Lindemann', 'Hermite']","['Tuberculosis', 'German']","Tuberculosis was a very common disease in the nineteenth century. It did not disfigure as smallpox did, and it did not kill quickly, but it progressed inexorably and took a heavy toll, of young people particularly.

In 1882 Koch (see 1876) isolated the tubercle bacillus, the bacterium that caused tuberculosis. This led him to search for a cure, and for a while he thought he had one, but was disappointed. Still, such was the dread of the disease that merely identifying the germ seemed a feat important enough to warrant granting Koch a Nobel Prize in medicine and physiology in 1905.

Pi as Transcendental

In 1882 the German mathematician Ferdinand von Lindemann (1852-1939) studied pi, the ratio of the circumference of a circle to its diameter. Its value is 3.14159 . .. and so on, forever, in a nonrepeating decimal, for pi is an irrational number.

Lindemann was able to show that it was more than irrational. It was transcendental, as Hermite had  shown e to be (see 1873). Therefore, pi could not serve as a solution for any conceivable polynomial

equation, and that meant that the problem of squaring the circle by straightedge and compass in a

finite number of steps (see 1837) was impossible

"
1883,Alloy Steel,"['Manganese', 'Robert Abbott Hadfield', 'Hadfield']",['British'],"For three thousand years, steel (carbonized iron) had been the strongest material known for tools, structures, and weapons, but that didn’t mean it couldn’t be improved.

Attempts were made to improve the qualities of steel by adding other metals. Manganese was one of the metals tried, but it seemed to make the steel more brittle. A British metallurgist, Robert Abbott Hadfield (1858—1940), added more manganese

than others had thought advisable, however, and when the steel was 12 percent manganese, it was no longer brittle. If it was then heated to 1,000° C and quenched, it became superhard. Where ordinary steel used for railroad rails had to be replaced every nine months, rails made of manganese-steel lasted twenty-two years.

Hadfield patented his manganese-steel in 1883, and that marked the beginning of the triumph of alloy steel. Other metals were then added to steel in vary

ing quantities and mixtures —chromium, tungsten, molybdenum, vanadium, niobium, and so on—in search of alloys with new and useful properties.

"
1883,Alternating Currents,"['Nikola Tesla', 'Edison']","['Electric', 'Croatian']","Electric currents, as used in the first half of the nineteenth century, flowed from one point to another in one direction. That is the kind of current one

sets from batteries, and it is direct current (de). It is easier, in

A

working with electric generators, however, to get a kind of current that goes first in one direction, then in the other, alternating very rapidly, with the current intensity rising and falling like a sine wave. This is alternating current (ac).

Alternating current didn't seem as useful as direct current, but then in 1883 a Croatian electrical engineer, Nikola Tesla (1856—1943), constructed an induction motor that could make use of alternating current to do useful work.

Edison had committed himself to direct current, and he fought the use of alternating current, but he lost out eventually.

"
1883,Edison Effect,"['Edison', 'Edison Edison']",[],"Once Edison had invented the electric light (see 1879), he naturally endeavored to improve it. In particular, he wanted to make the filament last longer. In 1883 he sealed a metal wire into a light bulb near the hot filament. Perhaps he thought this might absorb some of the remaining air in the tube and lessen its destructive effect on the filament.

To Edison's surprise, electricity flowed from the hot filament to the cold

wire across the gap that separated them. This is called the Edison effect. Edison wrote up the effect meticulously and patented it, as a matter of course, but he could think of no use for it. This was his only purely scientific discovery, and he didn’t follow it up. The Edison effect proved the basis for the science of electronics that was eventually to come.

"
1883,Rayon,['Rayon'],['French'],"The French chemist LouisMarie-Hilaire Bernigaud de Chardonnet (1839-1924) had begun some five years earlier to produce fibers by forcing solutions of nitrocellulose through tiny holes and allowing the solvent to evaporate. He perfected the process in 1883 and found he had a fiber that strongly resembled silk in its fineness and shininess. He called it rayon (from the French word for “a ray of light”"") because of its shininess. He used only partly nitrated cellulose, so rayon wasn't explosive, but it was still uncomfortably inflammable.

Rayon was the first synthetic fiber, and it was to be followed by many others.

"
1883,Meiosis,"['Edouard Joseph', 'Meiosis', 'Mendel']","['Flemming', 'Belgian', 'Beneden', 'Greek']","The discovery of the mechanism of cell division by Flemming (see 1882) stimulated many biologists into investigating the matter further.

The Belgian cytologist Edouard Joseph LouisMarie van Beneden (1846— 1910) found that the number of chromosomes in the cells of a particular species was always constant, though the number varied from species to species.

(It is now known that there are forty-six chromosomes in human cells.)

Furthermore, he discovered that in the formation of the sex cells (that is, the ova and spermatozoa), the division of chromosomes during one of the cell divisions was not preceded by a doubling. Each egg and sperm cell, therefore, ended with only half the usual number of chromosomes. (This halving of number was called meiosis, from a Greek word meaning “to make smaller”). Consequently, when a sperm cell entered an egg cell in the process of fertilization, the chromosomes reached their normal number for the species, half of them coming from the mother and half from the father.

Meiosis fit in perfectly

G2

with Mendel's genetic discoveries (see 1865) but those discoveries were still being ignored.

"
1883,Phagocytes,"['Elie Metchnikoff', 'Metchnikoff']","['French', 'Greek']","A Russian-born French bacteriologist, Elie Metchnikoff (1845-1916), found that in simple animals there were semi-independent cells that were capable of ingesting small particles. Any damage

to the animals brought these cells to the spot at once.

In 1883 Metchnikoff followed up this lead and studied more complicated animals. He was able to show that the white cells in blood were also semiindependent and were capable of ingesting bacteria. The white cells flocked to the site of any infection, and what followed was a battle between bacteria and what Metchnikoff called phagocytes (Greek for “eating cells’""). When the phagocytes lost heavily, their disintegrated structures made up pus.

The white cells, Metchnikoff held, were an important factor in resistance to infection and disease. For this work, he received a share of the Nobel Prize in physiology and medicine in 1908.

"
1883,Diphtheria,['Edwin Klebs'],['German'],"The German pathologist Edwin Klebs (1834-1913) discovered the bacterium responsible for a serious children’s disease, diphtheria, in 1883.

"
1883,Maxim Gun,['Hiram Stevens Maxim'],"['British', 'European', 'Africa', 'Asia']","The Gatling gun (see 1862) had to be cranked. In 1883 an American-barn, British inventor, Hiram Stevens Maxim (1840-1916), went one step further, with a fully automatic machine gun. [t made use of the energy of a fired bullet’s recoil to eject the spent cartridge and load the next.

The Maxim gun gave European armies a still greater advantage over native levies in Africa and Asia. One popular jingle of the time went:

“Whatever happens, we have got

The Maxim gun, and they have not!""”

However, the time was to come when non-Europeans found out how to use advanced weapons, and the jingle then lost its luster.

"
1883,Eugenics,"['Francis Galton', 'Charles Darwin', 'Third', 'Mendel', 'Fourth']","['British', 'Greek', 'Secand']","From earliest times, human beings have bred their animals in such a way as to enhance desired

characteristics, so that larger and speedier horses were obtained, sheep with more wool, cows with more milk, hens with more eggs. It must have occurred to many that similar tactics might improve the human species.

One who thought this was the British anthropologist Francis Galton (1822— 1911), a first cousin of Charles Darwin. In 1883 he coined the term eugenics (from Greek words meaning “good breeding""”) for the study of the improvement of human qualities by careful breeding.

However, eugenics is not easy to put into practice. In the first place, one can’t guide human breeding with quite the ease that one can guide the breeding of animals. Secand, we are not as sure of what we want in human beings as we are in the case of animals. Third, when Mendel’s discovery of recessive traits (see 1865) was understood, it came to be seen that it was hard to get rid of what one might consider undesirable characteristics. Fourth, the loudest supporters of eugenics were unsavory characters who wished to place it at the service of prejudice and racism.  1884

"
4354,Heat and Temperature,"['Stefan', 'Ludwig Eduard Boltzmann', 'Stefan Boltzmann', 'Boltzmann', 'Stefan Svante August Arrhenius', 'Arrhenius', 'Arrhenius Arrhenius']","['Austrian', 'Swedish']","Stefan had related heat emission to the fourth power of the temperature (see 1879), and in 1884, the matter was taken up further by the Austrian physicist Ludwig Eduard Boltzmann (1844-1906), who had once served Stefan

as a laboratory assistant. Boltzmann had earlier increased the rigor of the mathematical treatment of thermodynamics and had emphasized the statistical interpretation of t law of thermodynamics, so that he is considered the founder of statistical mechanic

Boltzmann showed that Stefan’s finding could

second

be deriv namic con that the rule called the law.

lonic Dissociation

ubstance disso

ter lowers the f point of water some

This lowering is in proportion to the quantity of the substance dissolved.

For different substances, the amount of lowering depends on the number of molecules present. If substance A has molecules only half the mass of substance B’s molecules, and if equal masses of both are dissolved in separate quantities of water, there will be twice as many molecules of the half-sized A in solution as of the full-sized B. Substance A will therefore be more effective in lowering the freezing point of water than substance B.

That goes for substances that don't conduct electric current in solution (nonelectrolytes). For substances that do conduct electric current (electroIytes), the situation is different. For instance, when sodium chloride is dissolved in water, one can calculate how many of its molecules are in solution and therefore how far the freezing point will be depressed. However, the freezing point is depressed twice as much as the calculated figure. The same is true for potassium bromide and sodium nitrate. With substances like barium chloride and sodium sulfate, the depression of the freezing point is three times what is calculated.

A Swedish chemistry student, Svante August Arrhenius (1859-1927), decided that the logical way to explain this was to suppose that sodium chloride molecules broke up into two fragments of opposite electrical charge (such fragments are called ions, a word first used by Faraday —see 1821). The ions carried the current, and since there were twice as many particles as there would have been if the molecule had remained intact, this accounted for the doubled depression of the freezing point. In the same way, barium chloride must break up into three ions, and so on.

In 1884 Arrhenius presented his theory of ionic dissociation as his Ph.D. thesis. It was not greeted with enthusiasm, for chemists had assumed for a century that atoms were featureless, indestructible, and unchanging. The thought of atoms carrying electric charges lent them features and a structure, and that was hard to accept. However, Arrhenius’s theory made sense in every other way, so he was given a passing grade—but the lowest possible one. In 1903, when key discoveries had been made concerning the atom’s structure, this same thesis obtained for Arrhenius a Nobel Prize.

"
4354,Sugar Structure,"['Hoff', 'Emil Hermann Fischer', 'Fischer']","['German', 'Franklin']","Though sugars had been studied throughout the nineteenth century, and though their atomic content was more or less known, the actual threedimensional arrangement of the atoms was not known. The work of van’t Hoff, ten years before, had shown the importance of the three-dimensional arrangement of atoms in a molecule and the way this could be responsible for optical activity (see 1874).

In a long series of experiments beginning in 1884, the German chemist Emil Hermann Fischer (1852—1919) isolated pure sugars and studied their structures. He showed that the best-known sugars contained six carbon atoms and could exist in sixteen varieties, depending on how the carbon bonds were arranged. Each different arrangement was reflected in the way the plane of light polarization was twisted.

Fischer showed that there were two series of sugars, mirror images of each other, which he called the D-series and the L-series. He had to pick which mirror image belonged to which method of writing the formula, and he did so arbitrarily. He had a fifty-fifty  chance of guessing correctly, and (unlike Franklin on the electric charge—see 1752), he guessed right. The natural sugars all happen to belong to the D-series. While engaged in this work, Fischer also studied a group of substances called purines, with molecules that consisted of a double ring of atoms made up of five carbons and four nitrogens. They were eventually found to make up an important part of certain key biochemical substances. For his work on sugar structure and on purines, Fischer received the Nobel Prize for chemistry in 1902.

"
4354,Cocaine,"['Sigmund Freud', 'Carl Koller', 'Freud', 'Koller']","['Cocaine', 'Peru', 'Bolivia', 'Austrian']","Cocaine is an alkaloid obtained from the leaves of the coca bush, which originally grew wild in Peru and Bolivia. The Incas chewed the leaves to suppress feelings of pain and weariness and so be able to endure the strains of life better. Europeans eventually discovered cocaine without understanding at first that it was strongly addictive and therefore dangerous. One of the first to study it was an Austrian physician, Sigmund Freud (1856— 1939). He did not follow it up but passed on his information to an Austrian colleague, Carl Koller (1857—

1944). Freud suggested that cocaine might be a painrelieving agent, but Koller went further and studied its uses as a local anesthetic (one that would deaden pain in a particular area of the body without producing unconsciousness).

In 1884, after having experimented on animals, Koller performed an eye operation on a patient—the first using local anesthesia. It was successful. Eventually, local anesthetics were developed that were more effective, and safer, than cocaine.

"
4354,Bacterial Staining,['Hans Christian Joachim Gram'],['Danish'],"Bacteria can be stained with synthetic dyes, just as Flemming had shown that ordinary cells can be (see 1882).

In 1884 a Danish bacteriologist, Hans Christian Joachim Gram (18531938), stained bacteria with a dye. He found that, when treated with iodine and an alcohol wash, the stain could be removed from some kinds of bacteria but not from others.

The bacteria that retained the dye were called Gram-positive, while those that lost it were Gram-negative. The importance of this became apparent once anti-

bacterial agents were developed and it was found that some attacked the Grampositive varieties and some the Gram-negative ones.

"
4354,Steam Turbine,"['Turbines', 'Charles Algernon Parsons']",['British'],"Turbines had been devised (see 1827), but none were capable of withstanding the high temperatures to which they would be subjected if they were to be turned by jets of steam and of withstanding the simultaneous stress of rapid rotation while preventing steam from escaping prematurely.

In 1884, however, the British engineer Charles Algernon Parsons (1854— 1931) constructed the first successful steam turbine. Such devices could be used to power ships, which could then attain unusually high speeds. They could also be used in electric generators.

"
4354,Linotype,['Ottmar Mergenthaler'],['American'],"Ever since the invention of

_printing (see 1454), ad-

vances had been made in the speed with which it could be carried through. The greater the speed, the more printed matter would be produced, the more would be read, and the more would be desired, especially as literacy increased the world over.

One bottleneck, however, was the setting of type. Plucking out an individual letter and setting it in line was time-consum-

ing.

In 1884 a German-born American inventor, Ottmar Mergenthaler (1854-1899), patented a machine that, when directed by an operator at a keyboard, could set a whole line of type at one time. [t was therefore called a Linotype machine. For the next three-quarters of a century it was a mainstay of publishing—especially newspapers, which increasingly had to be turned out steadily and in quantity.

"
4354,Fountain Pen,['Lewis Edson Waterman'],['American'],"Through most of history, those in the West have been writing with pen and ink. The pens advanced from feather quills to steel, but always they had to be dipped into the inkwell every few moments. This was tedious and led to a great number of ink blots and ink spills and tended to turn hands, face, and clothes inky as well.

In 1884 an American inventor, Lewis Edson Waterman (1837-1901), patented a pen with a reservoir that could be filled with ink. The pen could then write for a long time before an-

other filling was called for. The reservoir held a virtual fountain of ink, and before long the fountain pen, with further improvements, had replaced the dip pen almost everywhere. Even the typewriter (see 1867) did not completely remove the need for writing, after all.  1885

"
4354,Rabies,"['Pasteur', 'Pasteur Joseph Meister', 'Albrecht Kossel', 'Emil Fischer', 'Much', 'Kossel']","['Miescher', 'German']","Rabies, or hydrophobia, is a severe disease of the central nervous system. It can occur in any warm-blooded animal. The microorganism that causes it can be present in the salivary glands and may be communicated by a bite. For human beings, dogs can be particularly dangerous. They become excitable and vicious (“mad dogs”) when they have the disease, and bite at the slightest cause, or for no cause at all.

Once infected, it may take quite a while for a human being to show symptoms, because the microorganism has to penetrate the nervous system, but once it is established there, death is fairly quick, almost certain, and agonizing.

Pasteur tried to treat the disease as he had treated anthrax (see 1881), by developing an attenuated and feeble preparation of the causative agent that would give immunity but not the disease. He showed that an attenuated agent could be obtained by passing a rabies infection through a variety of different species of animals until its virulence had abated.

In 1885 Pasteur made the first use of his attenuated preparation to pre a case of rabies in a boy, Joseph Meister (1878— 1940), who had been bitten by a mad dog. The treatment worked, and the boy was saved.

nt

Purines and s e me

Pyrimidines Since the nucleic acids had been discovered by Miescher (see 1869), little had been done to determine their molecular structure.

Then the German biochemist Albrecht Kossel (1853-1927) took up the matter. He got rid of the proteins ciated with the nucleic acids and worked on the material itself. By 1885 he had obtained substances from it that included the doublering purines Emil Fischer had studied a few years earlier (see 1884). He also obtained pyrimidines, whose molecule re made up of a single ring of atoms, four carbons and two nitrogens

He isolated two differ-

ent purines, adenine and guanine, and three different pyrimidines, uracil, cytosine, and thymine. He also decided that a sugar molecule was present

but couldn't tell which one.

Much remained to be done, but it was a good start and far more important than anyone could tell at the time. This was some of the work for which Kossel received a Nobel Prize in physiology and medicine in 1910.

"
4354,Praseodymium and Neodymium,"['Carl Auer', 'Freiherr']","['Didymium', 'Greek', 'Austrian']","Didymium was a rare earth element that had been discovered by Mosander some forty years before. Its name is derived from the Greek word for “twin"" because it was so like other rare earth elements. However, the name turned out to be more apt than was thought, for the element was actually twins, a mixture of two very similar

elements.

In 1885, after much careful work, an Austrian chemist, Carl Auer, Freiherr von Welsbach (1858-1929), managed to separate the two elements. One he named praseodymium (“green twin,” because of the color of a prominent

line in its spectrum) and the other he named neodymium (new twin).

"
4354,Welsbach Mantle,['Von'],[],"Von Welsbach (see above) was the first to find an important use for the rare earth elements in which he was so interested.

It occurred to him that gas flames might be made to give more light if they were allowed to heat up some compound that would itself then glow brightly.

He tried many substances that would glow at high heat without melting and finally found that if he impregnated a cylindrical fabric with thorium nitrate, to which a small amount of cerium nitrate (a compound of one of the rare earth elements) had been added, he would obtain a brilliant white glow in a gas flame.

This Welsbach mantle, when used in a kerosene lamp, gave such a bright light that it allowed kerosene lamps to compete with electric light for another thirty years or so.

"
4354,Transformer,['William Stanley'],['American'],"In the battle between alternating current and direct current (see 1883), victory went to alternating current,

because it could be transformed into another current of much higher voltage and of correspondingly lower amperage (to get something, you have to give up something in the real world). While it is in this high-voltage state, the current can be transported long distances with comparatively little loss. Once it arrives at its destination, it can be reconverted into a low-voltage, high-amperage current again, in which form it can do its work best.

For these transformations from low to high voltage and back again, a device was needed that was invented in 1885 by an American electrical engineer, William Stanley (1858-1916), who was working for Westinghouse (see 1868). His transformer could shift voltage and amperage, but only with alternating current and not with direct current.

"
4354,Automobile,['Carl Friedrich Benz'],['German'],"Until the invention of the steam engine (see 1712), the dream of a carriage that would move without a horse pulling it (a “horseless carriage™) had belonged to the world of myths and legends. The steam-engine is supposed to have been put into action as early as 1769, but such steam-powered vehi cles were bulky, clumsy, and slow. Even fairly advanced ones, built much later, took time to start, because water had to be heated and boiled first.

The coming of the internal-combustion engine, especially the Otto fourstroke engine (see 1876), offered a much better hope. What was needed now was an appropriate fuel, and eventually that turned out to be gasoline, a petroleum

fraction with smaller molecules than those of kerosene, so that it vaporized more easily and burned more readily.

The first working automobile with a gasolineburning internal-combustion engine was built in

early 1885 by a German me-

chanical engineer, Carl Friedrich Benz (1844— 1929). Its wheels looked like bicycle wheels, and there were three of them, a

smaller one in front and two larger ones in back. It ran at a speed of 9 miles per hour, and it was the forerunner of all that was to follow.

"
1886,Fingerprints,['Galton'],['Galton'],"In 1885 Galton (see 1883) pointed out the individuality of fingerprints. No two people (barring identical twins) had identical fingerprints, and Galton  worked out a thoroughgoing system of classifying and identifying them.

In handling smooth surfaces, people always left sweaty, greasy fingerprints, even when these were unno-

ticeable unless the surface was appropriately powdered. Eventually, fingerprints proved a useful way of showing that a given person had been present at a given place and had han-

dled a given object. This added a new dimension to forensic medicine (from a Latin word referring to a public place such as a courtroom).

"
1886,Aluminum,"['Napoléon I11', 'Charles Martin Hall', 'Hall', 'Davy', 'Aluminum']","['Aluminum', 'American', 'French']","Aluminum is the most common element in the Earth's crust. It was first isolated by @rsted (see 1825), but the isolation was so difficult that it was virtually a precious metal. Napoléon I11 had his cutlery and a baby rattle for the Prince Imperial made out of aluminum, and the capstone on the Washington Monument is a slab of aluminum.

In 1886 an American student of chemistry, Charles Martin Hall (1863— 1914), heard his teacher say that anyone who discovered a cheap way of making aluminum would grow rich and famous. In his home laboratory, using homemade batteries, Hall devised a method of

preparing aluminum by the use of an electric current, as Davy had prepared sodium and potassium nearly eighty years before (see 1807). He used aluminum oxide dissolved in a molten mineral named cryolite, and into it he stuck carbon electrodes.

0Oddly enough, that same year a French metallurgist, Paul-Louis-Toussaint Héroult (1863-1914), with the same last initial and the same birth and death years, independently devised precisely the same system, which is therefore called the Hall-Héroult process.

Aluminum became cheaper almost at once, and it is now second only to steel as a structural material. A combination of

lightness and strength makes it ideal for aircraft, for instance.

"
1886,Germanium,"['Clemens Alexander Winkler', 'Mendeleyev']","['German', 'Germany', 'Neptune']","A German chemist, Clemens Alexander Winkler (1838-1904), analyzed a silver ore and, when he had completed his work, found that the elements he had located added up to only 93 percent of the whole. Puzzled, he searched out the remaining 7 percent and, in 1886, found a hitherto unrecognized element, which he named germanium, after Germany.

It turned out to be ekasilicon and filled the one remaining gap for which Mendeleyev had predicted a new element (see 1869). What's more, the properties  that Mendeleyev had predicted for it once again turned out to be absolutely correct. Three predictions made, three predictions fulfilled. [t was as amazing a feat as the discovery of Neptune (see 1846).

"
