ID	Year	Title	Description	Inventor	Location	Dependencies	Field	URL		
internal-combustion-engine	1860	Internal-combustion engine	Instead of using steam to move a piston, what if flammable vapor and air could explode within a cylinder to move the piston instead? Although still too inefficient to be practical, this engine powered small vehicles and represented a significant step in the evolution of modern transportation.	Jean-Joseph-Étienne Lenoir	France	kinetic-theory-of-gases, steam-engine-efficiency	Design	Prior to the internal-combustion engine, steam engines were the primary source of mechanical power. Lenoir's invention harnessed the explosive force of flammable vapor mixed with air within a cylinder to move a piston directly. This compact and responsive engine was the precursor to the efficient internal-combustion engines that came thereafter, enabling the creation of horseless carriages and ultimately revolutionizing transportation.		
organic-synthesis	1860	Organic synthesis	Berthelot was able to synthesize organic molecules in a lab without the use of living matter. This advancement supported the development of organic chemistry and debunked the idea that only living tissue could manufacture complex organic molecules.	Pierre-Eugène-Marcelin Berthelot	France	synthetic-urea	Science: Chemistry	When Wöhler synthesized urea, it challenged the notion that complex organic molecules could only be produced by living organisms. Pierre-Eugène-Marcelin Berthelot furthered this field by synthesizing important organic compounds such as methyl alcohol, ethyl alcohol, methane, benzene, and acetylene by 1860. This led to the realization that the chemical structures and properties of organic molecules could be replicated outside of living systems, aiding the progression of organic chemistry.		
solar-prominences	1860	Solar prominences	Advancements in astronomical photography allowed for the detailed capture of solar phenomena. This included solar prominences which are gouts of flame around the edge of the sun during a total eclipse. This was the first astronomical discovery made as a result of photography, and required de la Rue to quickly travel to Spain.	Warren de la Rue	England	reflecting-telescope, photography, solar-flares, steam-locomotive-improved	Space	Through the use of a specially adapted telescope, the English astronomer Warren de la Rue excelled in photographing the Sun's phenomena. In 1860 during a trip to Spain, he captured an image of a total solar eclipse that clearly showed flame-like prominences extending from the sun. These images provided valuable insights into solar behavior and greatly improved the understanding of solar prominences.		
avogadro-revived	1860	Avogadro's hypothesis revived	Avogadro's hypothesis, revived by Italian chemist Stanislao Cannizzaro, clarified that the molecular weight of gases can be determined with certainty, resolving much confusion in molecular structure.	Stanislao Cannizzaro	Italy	avogadro-hypothesis, organic-molecular-structure	Science:Chemistry	Avogadro's hypothesis, revived by Italian chemist Stanislao Cannizzaro, clarified that the molecular weight of gases can be determined, resolving much confusion in molecular structure. Presented at an international conference of chemists in Karlsruhe, it gained acceptance and led to a general agreement over molecular structures.		
black-bodies	1860	Blackbody Radiation	The theory of black bodies, suggested by Kirchhoff, posits that a body absorbing all light and reflecting none, known as a black body, when heated, emits all wavelengths of light. This led to significant advancements in understanding light and temperature distribution across the spectrum.	Gustav Robert Kirchhoff	Germany	spectral-lines-and-elements	Science:Physics	The theory of black bodies, suggested by Kirchhoff, posits that a body absorbing all light and reflecting none, known as a black body, when heated, emits all wavelengths of light. This theory was a crucial advancement in physics, aiding the understanding of light wavelength emission and temperature distribution across the total spectrum, eventually leading to a major revolution in physics.		
archeopteryx	1861	Archeopteryx	Archeopteryx is a fossil representing an ancient life form that lies between dinosaurs and birds, showing evolutionary transition. It showcases a blend of lizard-like and avian features, highlighting the link between the two groups.	Hermann von Meyer	Germany	iguanodon, evolution-by-natural-selection	Science:Biology	Although the giant dinosaurs, whose fossil relics had been dug up over the past forty years, were the most dramatic remnants of ancient life, the most important single fossil was not a giant, but a relatively small lizardlike animal that was discovered in 1861. It left a clear impression in a rock, which showed that it had a head possessing teeth and a beak, a long neck, a long tail, and a flat breastbone—all very lizardlike. There was, however, one all-important added feature. The 'lizard' had feathers. The imprints of those feathers are unmistakable. They are in a double row down the length of the tail and are also present along the forelimbs.		
brocas-area	1861	Broca's area	Gall had speculated that different parts of the brain controlled different parts and functions of the body. Now a postmortem of Broca's patient who lost the ability to speak revealed damage to an area in the left frontal lobe of the cerebrum.	Pierre-Paul Broca	France	phrenology	Science:Biology	Gall had been of the opinion that different parts of the brain controlled different parts and functions of the body. Gall’s conclusions were strictly speculative. Broca, the first person to present conclusive evidence of a specific region of the brain in charge of a specific function, had a fifty-one-year-old patient who had lost the ability to speak. When the patient died in 1861, a postmortem revealed damage to the third convolution on the left frontal lobe of the cerebrum (now known as Broca’s convolution). Gall’s insight, which had been misdirected into phrenology, was thus put right.		
thallium	1861	Thallium	Thallium was discovered through spectroscopy, distinguishing itself with a bright green spectral line. This element, derived from heated selenium ores, was significant for its unique identifying characteristic via spectroscopy.	William Crookes	England	spectral-lines-and-elements	Science:Chemistry	Kirchhoff was not the only one to discover new elements by means of spectroscopy. The British physicist William Crookes was working with selenium ores, and in 1861 he came upon a sample of such ore that when heated showed a bright green line characteristic of no known element. He analyzed the ore in search of the new element, found it, and named it thallium, from the Greek word for 'green twig' after the color of its line.		
germ-theory-of-disease	1862	Germ theory of disease	Pasteur surveyed the evidence and synthesized it into a theory that contagious diseases are caused by microorganisms. It revolutionized medicine, leading to the prevention and treatment of diseases and significantly increasing life expectancy.	Louis Pasteur	France	pasteurization, cholera	Science:Biology	In 1862, Pasteur took up the matter and issued a publication that gathered all the evidence supporting that microorganisms cause diseases. This became a pivotal advancement in medicine, reducing the death rate, doubling life expectancy, and contributing to a significant population growth. The theory allowed scientists to identify specific microorganisms responsible for diseases and develop ways to prevent or cure them.		
dim-companion-of-sirius	1862	Dim companion of sirius	Using a newly ground 18-inch lens, Clark saw an anomaly near Sirius. The existence of a dark companion star orbiting Sirius was confirmed through its gravitational influence. This discovery added to the understanding of binary star systems.	Alvan Graham Clark	United States	companion-of-sirius	Space	Bessel had suggested the existence of a dark companion of Sirius, one that could not be seen but whose existence was indicated by its gravitational influence. On January 31, 1862, American astronomer Alvan Graham Clark confirmed this by observing the companion star through a telescope.		
hydrogen-in-the-sun	1862	Hydrogen in the sun	In later years, astronomers began to use spectral lines to compare the position of the dark lines to determine the solar spectrum. Ångström discovered hydrogen in the Sun, and later published a spectrum with wavelengths represented by each line in units of ten-billionths of a meter, now known as the ångström.	Anders Jonas Ångström	Sweden	spectral-lines-and-elements	Science:Physics	In 1862, the Swedish physicist Anders Jonas Ångström announced his discovery of hydrogen in the Sun. He went on, in later years, to publish a map of the spectrum that showed the position of the dark lines in comparison to the solar spectrum, measured in units that are still known today as the ångström.		
chloroplasts	1862	Chloroplasts	Rather than being uniformly spread through plant cells, chlorophyll is concentrated in discrete bodies named chloroplasts. Starch grains appeared within chloroplasts, supporting the product of photosynthesis.	Julius von Sachs	Germany	chlorophyll-and-cells	Science:Biology	In 1862, the German botanist Julius von Sachs observed that plant cells contained discrete chlorophyll bodies, which he called chloroplasts. He noted that starch grains appeared within these chloroplasts, linking them directly to photosynthesis.		
source-of-the-white-nile	1862	Source of the white nile	Confirmed that the stream flowing from the northern rim of Lake Victoria was the White Nile. Speke traced the longest river flowing into Lake Victoria, the Luvironza, establishing it as the true source of the Nile, located in modern-day Burundi.	Richard Francis Burton and John Hanning Speke	England	nile-river	Geography	In 1862, explorations led by Richard Francis Burton and John Hanning Speke confirmed that a stream issuing from the northern rim of Lake Victoria was the White Nile. Speke traced the longest inflowing river, the Luvironza, establishing it as the true source of the Nile, located in modern-day Burundi.		
ironclad-warships	1862	Ironclad warships	The Confederate ironclad warship Merrimack (later renamed Virginia) attacked and sank wooden Union ships with ease due to its iron armor. The Union responded with its own ironclad, Monitor, and after a five-hour indecisive battle, it became clear that wooden warships were outdated, leading navies worldwide to adopt ironclads.	John Ericsson	United States	bessemer-steel, transatlantic-liner	War	The ironclad warship Merrimack (later renamed Virginia) attacked and sank wooden Union ships with ease due to its iron armor. The Union responded with its own ironclad, Monitor, and after a five-hour indecisive battle, it became clear that wooden warships were outdated, leading navies worldwide to adopt ironclads.		
machine-guns	1862	Machine guns	The Gatling gun, the first machine gun, was invented to shoot multiple bullets in rapid succession, building on repeating rifles called carbines which had come into use in 1860. It greatly increased the firepower available to armed forces, making it a significant development in military technology.	Richard Jordan Gatling	United States	revolvers	War	American inventor Richard Jordan Gatling created a rapid-fire gun that could shoot nearly six bullets per second using a rotating barrel mechanism. This invention, known as the Gatling gun, was used by Union forces during the Civil War and represented a major advancement in repeating firearms.		
hemoglobin	1862	Hemoglobin	The protein hemoglobin, crucial in carrying oxygen in the blood, was identified and named. This discovery was fundamental in understanding blood's role in oxygen transportation.	Felix Hoppe-Seyler	Germany	protein, oxygen	Science:Biology	German biochemist Felix Hoppe-Seyler crystallized the protein hemoglobin, which combines with oxygen in the lungs and transports it to tissues. He gave it the name hemoglobin (derived from the Greek word for blood, hemo, and globin, a protein class), and discovered that hemoglobin becomes oxyhemoglobin when it binds with oxygen.		
greenhouse-effect	1863	Greenhouse effect	The concept describes how gases like carbon dioxide and water vapor trap heat in the Earth's atmosphere, leading to an increase in surface temperatures. This phenomenon is similar to how a greenhouse works.	John Tyndall	England	infrared-radiation	Science:Physics	In 1863, the Irish physicist John Tyndall pointed out that gases such as carbon dioxide and water vapor are transparent to the visible light that reaches Earth's surface from the Sun, but rather opaque to the infrared radiations that the Earth gives off to space when it cools down at night. This means that the presence of even a small amount of these gases in the air will keep the Earth's surface temperature higher than it would otherwise be. This resembles the situation in a greenhouse, where light enters through the glass and warms the atmosphere within, but heat escapes only with difficulty, so that the net effect is to warm the greenhouse. For this reason, the action of carbon dioxide and water vapor is referred to as the greenhouse effect. Since human activity has somewhat increased the carbon dioxide of the atmosphere and is continuing to do so, the greenhouse effect has become a serious threat.		
law-of-octaves	1863	Law of octaves	Now that over sixty elements were known, the proposed Law of Octaves grouped elements based on their atomic weights in a repeating pattern, resembling musical octaves. This failed attempt helped pave the way for better-organized periodic tables.	John Alexander Reina Newlands	England		Science:Chemistry	By this time, over sixty elements were known, and they seemed to represent an unruly jungle of characteristics. Chemists were uneasy with that, so they tried to group elements into families. Several attempts had already been made, but an English chemist tried something a bit different. He listed the elements in order of atomic weight and found that the second seven repeated the properties of the first seven quite closely. He tried to extend this further, referring to it as the law of octaves (as in music, where the same seven notes are repeated over and over, with every eighth note resembling the first octave higher, octave coming from the Latin word for “eight”). Newlands's work was not taken seriously because the list of elements fit the law of octaves very imperfectly. Nevertheless, it helped put the listing of elements in vogue, and in the course of the following decade, a much superior table was established.		
constitution-of-the-stars	1863	Constitution of the stars	Spectral analysis of stars revealed that their composition was similar to elements found on Earth, suggesting a commonality in the universe's materials. This discovery supported the idea that the universe comprises the same elements throughout.	William Huggins	England	spectral-lines-and-elements	Space	Granted that the elements in the Sun seemed to be the same as those on Earth, might it be argued that the Solar System would naturally be made of one set of materials but that other stars might be made of other elements? The English astronomer William Huggins studied the spectra of some of the brighter stars and announced in 1863 that their spectral lines were those of the old familiar elements. Presumably, then, the entire Universe was made up of the same elements.		
barbiturates	1863	Barbiturates	The discovery of barbituric acid led to the development of barbiturates, a class of compounds significant in the formulation of sleeping pills. This medicinal discovery has had a lasting impact on pharmacology.	Adolf von Baeyer	Germany	acid-base	Science:Pharmacology	In 1863 the German chemist Adolf von Baeyer discovered barbituric acid. Barbituric acid is the parent substance of a family of compounds known as barbiturates, which are well known today for their use in sleeping pills.		
indium	1863	Indium	Indium was discovered through spectroscopic analysis of a zinc ore precipitate, revealing a new element with unique indigo spectral lines. 	Ferdinand Reich and Theodor Richter	Germany	spectral-lines-and-elements	Science:Chemistry	A German mineralogist suspected that a yellow precipitate he had obtained from a zinc ore might contain a new metal. Because he himself was color-blind, he had his assistant examine it spectroscopically. Richer did so and spotted an indigo-colored line that was not characteristic of any known element. The new element was therefore named indium.		
nature-of-orion-nebula	1864	Nature of Orion Nebula	The Orion Nebula, previously thought to be a simple cloud of gas, was discovered to contain clusters of faint stars. This finding indicated that stars are embedded in nebulous regions and contribute to the nebula's luminosity.	William Huggins	England	clusters-and-nebulas	Space	Some patches of nebulosity, including the Milky Way itself, had turned out to be clusters of faint stars. A number of Messier objects had turned out to be globular clusters. The Orion nebula was studied, and it was found that its spectrum was typical of what would be expected of a luminous gas. It was concluded that the nebula is a large cloud of gas with stars embedded in it, which heat the gas to luminosity.		
genetics	1865	Genetics	Mendel discovered the fundamental laws of inheritance by conducting experiments with pea plants. He observed how plant height was passed from one generation to the next. Dominant traits would overpower recessive ones, but the recessive traits could reappear in future generations.	Gregor Johann Mendel	Austria	evolution-by-natural-selection	Science: Biology	Gregor Mendel, an Austrian botanist and monk, discovered the fundamental laws of inheritance by conducting experiments with pea plants. He observed how certain traits, like plant height, were passed from one generation to the next. By carefully arranging plants to self-pollinate and analyzing the traits in their offspring, Mendel concluded that organisms have pairs of factors for each trait that segregate during reproduction. Dominant traits would overpower recessive ones, but the recessive traits could reappear in future generations. His work laid the groundwork for the science of genetics.		
benzene-ring	1865	Benzene ring	The benzene ring is a molecular structure consisting of six carbon atoms forming a hexagonal ring with hydrogen atoms attached. This configuration made benzene stable and significantly contributed to the understanding of molecular structures.	August Kekulé	Germany	organic-molecular-structure	Science:Chemistry	The molecule of benzene is made up of six carbon atoms and six hydrogen atoms. Given a chain of six carbon atoms, there seemed to be no way of adding six hydrogen atoms without producing a very unstable compound—and benzene was quite stable. It was Kekulé himself who found the answer in 1865. According to his own story, he was in a semidoze in a horse-drawn bus and was visualizing carbon chains when suddenly the tail end of one chain attached itself to the head end and formed a spinning ring. At once he saw that if he imagined the six carbon atoms forming a hexagonal ring, with one hydrogen atom attached to each carbon, a stable atom might be the result. Once the notion of carbon rings was added to that of carbon chains, many structural problems were solved.		
avogadros-number	1865	Avogadro’s number	Avogadro’s number represents the number of molecules in 22.4 liters of any gas, which is approximately 6×10^23. This measurement allowed scientists to quantify the number of atoms and molecules in a given volume and weigh gases accurately.	Johann Joseph Loschmidt	England	kinetic-theory-of-gases, avogadro-revived	Science:Chemistry	The hydrogen molecule is composed of two hydrogen atoms. The hydrogen atom has an atomic weight of just about 1, so that a hydrogen molecule has a molecular weight of 2. Hydrogen gas is made up of hydrogen molecules, and at 0°C and normal atmospheric pressure at sea level, 22.4 liters (5.9 gallons) of hydrogen gas weigh 2 grams. This is the molecular weight in grams, or 1 mole. Since equal volumes of gases are made up of equal numbers of molecules, according to Avogadro’s hypothesis (see 1811), and since each oxygen molecule has a weight of 32, then 22.4 liters of oxygen gas would weigh 32 grams—or 1 mole. In fact, 22.4 liters of any gas are likely to weigh 1 mole. The question is, how many molecules are there in 22.4 liters of a gas? In 1865 the Austrian chemist Johann Joseph Loschmidt used Maxwell’s kinetic theory of gases (see 1859) to calculate what that number ought to be. It turned out to be about 600,000,000,000,000,000,000,000, or six hundred billion trillion. Since all this was based on Avogadro’s hypothesis, the number was called Avogadro’s number. From Avogadro’s number, you could calculate the actual mass of a hydrogen molecule, since it would be 2 grams divided by six hundred billion trillion. A hydrogen atom would have a mass half that, and the mass of other atoms and molecules could be calculated as well. For the first time, scientists had a notion, and a rather good one, as it turned out, of the mass of the tiny atoms and molecules that make up matter.		
antiseptic-surgery	1865	Antiseptic surgery	Lister introduced the use of phenol solutions to clean hands and instruments during surgeries, which significantly reduced post-operative infections. This advancement drastically reduced the mortality rates and complications associated with surgeries.	Joseph Lister	England	anesthesia, germ-theory-of-disease, puerperal-fever	Science:Medicine	Anesthetics had come into use nearly twenty years before, but if the process had become more...		
maxwells-equations	1865	Maxwell’s equations	Maxwell devised a set of equations that unified electricity and magnetism into a single electromagnetic force. These equations demonstrated the relationship between electric oscillations and electromagnetic fields, showing that light is an electromagnetic wave.	James Clerk Maxwell	England	laws-motion	Science:Physics	The culminating work of Maxwell came when he began to devise a set of equations, simple in form, that expressed all the varied phenomena of electricity and magnetism and bound them together indissolubly, as Newton had done for gravitation. Maxwell showed that electricity and magnetism did not exist separately, but that each was an inevitable aspect of the other. There was a single electromagnetic force. Maxwell showed that the oscillation of an electric charge produced an electromagnetic field that radiated outward from its source at a constant speed. This speed could be calculated from the equations and turned out to be just the speed of light.		
mobius-strip	1865	Möbius strip	The Möbius strip is a one-sided surface that challenges traditional geometry, created by twisting a strip of paper 180 degrees and joining its ends. This concept found applications in various scientific and artistic fields, demonstrating properties of non-orientable surfaces and founding topology.	August Ferdinand Möbius	Germany	analytic-geometry	Math:Topology	In 1865, the German mathematician August Ferdinand Möbius presented what came to be called a Möbius strip. This is a long, flat strip of paper (or other flexible material) that is given a half twist and the two ends then pasted together to give a circular figure with one edge and one side. The resulting construction has only one surface and one edge. This made Möbius one of the founders of topology, the branch of mathematics that deals with properties of figures that are not altered by deformations (as long as there is no tearing).		
cylinder-locks	1865	Cylinder locks	Cylinder locks feature a key with a serrated edge that aligns spring-loaded pins within the lock cylinder to allow entry. This innovation significantly increased security for locks by making them difficult to pick and easy to mass-produce with unique key combinations.	Linus Yale	United States		Design	In 1865, an American locksmith patented a cylinder lock with tumblers that had to be brought into a certain alignment for the lock to open. The key had a serrated edge that sufficed to bring the tumblers into line. A vast number of combinations were possible, so that every key could be unique, even if there were millions of locks. The familiar locks and keys that have controlled house and apartment doors ever since are based on this principle.		
dynamite	1866	Dynamite	Dynamite is a powerful explosive material composed by safely combining nitroglycerine with kieselguhr. It allowed safe, controlled explosions for construction and mining, revolutionizing those industries.	Alfred Bernard Nobel	Sweden	nitroglycerine	Science: Chemistry	During the twenty years since nitroglycerine had been discovered, it had been used in blasting roads through mountains, digging canals, and laying foundations. However, it was highly unstable, and frequently caused accidental explosions. Swedish inventor Alfred Bernard Nobel developed a safer way of using nitroglycerine by combining it with kieselguhr, a substance that absorbed the liquid nitroglycerine without detonating. This combination, called dynamite, could be handled safely until an external detonator was used, making it ideal for controlled explosions in construction and mining. This invention significantly improved safety in these industries and led to the establishment of the annual Nobel prizes funded by Nobel's estate.		
clinical-thermometer	1866	Clinical thermometer	The clinical thermometer is a medical instrument designed to accurately measure a patient's body temperature. It made temperature measurement more convenient and reliable in clinical settings.	Thomas Clifford Allbutt	England	mercury-thermometer	Science: Medicine	Doctors had long recognized the importance of knowing a patient’s temperature, but existing thermometers were cumbersome, imprecise, and slow, often requiring up to 20 minutes to register results. British physician Thomas Clifford Allbutt developed a small thermometer that could be easily used to measure body temperature more quickly and accurately. This invention greatly improved clinical diagnostics and patient care, allowing for more efficient and precise monitoring of patient health.		
kirkwood-gaps	1866	Kirkwood gaps	The discovery of the Kirkwood gaps revealed that the distribution of asteroids in the asteroid belt is not uniform. These gaps occur due to the gravitational influence of Jupiter, which causes asteroids to be either pulled away or pushed into these gaps.	Daniel Kirkwood	United States	asteroids	Space	By now, nearly ninety asteroids had been discovered and their orbits calculated. It was clear that they were not evenly distributed, and the American astronomer Daniel Kirkwood showed in 1866 that there were definite gaps, since called 'Kirkwood gaps.' He explained these gaps by postulating that any asteroids that would have been in those gaps would revolve around the Sun in a period that had a simple ratio to the period of Jupiter. That meant that every two or three turns of the asteroid would bring it into the same position with respect to Jupiter. Jupiter's gravitational pull would then be cumulative, and the asteroid would be forced either farther from the Sun or nearer to it, leaving a gap.		
earths-iron-core	1866	Earth's iron core	The hypothesis that Earth's center must be composed of denser material than its crust was confirmed through the study of meteorites. This led to the acceptance that Earth has a nickel-iron core, shaping our understanding of the planet's composition.	Gabriel-Auguste Daubrée	France	mass-of-the-earth, meteorites	Science:Geology	Ever since Cavendish had determined the Earth's mass (see 1798), it had been known that the Earth's average density was about twice that of its rocky crust. The conclusion was that Earth's center must be made of material that was denser than rock. Metal seemed to be the only reasonable alternative. The French geologist Gabriel-Auguste Daubrée, considering the fact that a number of meteorites were composed of a nickel-iron alloy (though most were rocky), assumed that if meteorites were remnants of an exploded planet, the rocky ones came from the outermost portions of the planet, and the nickel-iron ones came from its core. He reasoned that this would be true of Earth as well, so that Earth had a nickel-iron core. This has been accepted by geologists ever since.		
composition-of-a-nova	1866	Composition of a nova	The study of nova spectra revealed that they are dominated by hydrogen, indicating its presence as a major component of the Universe. This finding was pivotal in understanding the composition and behavior of novas.	William Huggins	England	supernova, reflecting-telescope	Space	Since the exceedingly bright novas spied by Tycho Brahe and by Kepler nearly three centuries before, further novas of the sort had been seen. Nevertheless, dim novas had been sighted, and they still attracted notice because they had brightened suddenly and without warning. In 1866 Huggins managed to study the spectrum of a nova and showed from its spectral lines that it was surrounded by a cloud of hydrogen. This was the first indication that hydrogen might be a dominating constituent of the Universe.		
dry-cell	1867	Dry cell	Up to now, all batteries were made of liquids inside a container, which was not safe. The dry cell battery was invented, which converted battery fluid into a non-spillable paste. This innovation made batteries safer and more practical for everyday use.	Georges Leclanché	France	storage-battery	Science:Chemistry	Batteries before this consisted of liquid-filled containers that required careful handling. In 1867, Georges Leclanché created a cell that converted the liquid into a stiff paste, making it much safer and easier to use. The resulting dry cells enabled the widespread use of batteries in various small devices, from flashlights to toys.		
typewriters	1867	Typewriters	The first typewriter that could be used to write as quickly as hand writing was invented, streamlining the process of document creation. This invention marked a significant advancement in writing technology.	Christopher Latham Sholes	United States	printing-press	Design:Technology	Printing had existed for centuries but writing letters or stories still had to be done by hand. Attempts to create machines for this purpose existed, but they were cumbersome and slow. In 1867, Christopher Latham Sholes invented the first reasonably compact and practical writing machine, which could produce documents more quickly than manual handwriting.		
law-of-mass-action	1867	Law of mass action	The law of mass action describes how chemical reactions can be reversed by varying the mass of the reactants. This principle has been fundamental in advancing the field of thermodynamics and chemical reaction engineering.	Cato Maximilian Guldberg and Peter Waage	Norway	thermochemistry	Science:Chemistry	Chemists discovered that chemical reactions could often proceed in two directions, and by increasing the mass of one set of reactants, the reaction could be forced to move in the direction that consumed that set. Norwegian chemists Cato Maximilian Guldberg and Peter Waage demonstrated that it's not mass alone but concentration—the quantity of mass in a given volume—that determines reaction direction. Known as the law of mass action, it was promulgated in 1867 and laid the foundation for modern thermodynamics and its application to chemical reactions.		
air-brake	1868	Air brake	The air brake uses compressed air to simultaneously stop every wheel on a train, greatly improving rail safety. This invention overcame the difficulty of manually stopping trains, which involved significant risks of collisions and accidents.	George Westinghouse	United States	steam-locomotive-improved	Design: Engineering	In 1868 the American engineer George Westinghouse invented the air brake, which used compressed air rather than human muscle. Such an air brake could be applied simultaneously to every wheel on the train. Cornelius Vanderbilt dismissed the idea as a 'fool notion' because he did not believe that one could stop a train by the use of air. However, the air brake, after some improvements, caught on quickly and greatly increased rail safety.		
helium	1868	Helium	Thanks to modern transportation, astronomers could take a journey to see an eclipse if they liked. Studying an eclipse in India, Janssen discovered a new spectral line corresponding to a new element, Helium.	Pierre-Jules-César Janssen	France	spectral-lines-and-elements, transatlantic-liner	Space	Improvements in transportation had made it possible for astronomers to travel all over the world if they had to. The most spectacular astronomical phenomenon that might be confined to a small area almost anywhere in the world was a total eclipse of the Sun. When an eclipse was due to be visible at certain areas in India in 1868, European astronomers didn’t hesitate to make the journey. A French astronomer at the site, Pierre-Jules-César Janssen, studied the spectra of the solar prominences. Meanwhile, a British astronomer, Joseph Norman Lockyer, showed that by allowing light from the edge of the Sun to pass through a prism, he could obtain spectra of prominences even without an eclipse. Janssen observed a spectral line that did not match any of the known lines in position. He sent a report on this to Lockyer, who decided that the line represented a hitherto unknown element. The element was named helium, from the Greek word for 'sun.'		
cro-magnon-man	1868	Cro-magnon man	The discovery of Cro-Magnon man in a cave revealed that these humans were around thirty-five thousand years old, indicating an early form of modern humans. This finding challenged the belief that the human race was far younger and shed light on human evolution.	Édouard-Armand-Isidore-Hippolyte Lartet	France	neanderthal-man	Science:Archaeology	In 1868, a French paleontologist discovered four skeletons of human beings in a cave called Cro-Magnon. They were around thirty-five thousand years old but human in every respect, demonstrating that this earlier form of human was significantly older than previously thought.		
deep-sea-life	1868	Deep-sea life	The discovery of deep-sea life revealed that living organisms could thrive in depths far lower than light could reach. This groundbreaking finding expanded our understanding of marine biology and the adaptability of life forms.	Charles Wyville Thomson	England	telegraph-plateau	Science:Biology	In 1868, a British zoologist began deep-sea dredging operations, leading to the identification of life forms thriving in the depths of the Mediterranean and Atlantic Oceans. This research showed that life exists from the ocean's surface to its depths, even though deep-sea life does not live in the same profusion as surface life.		
periodic-table-of-the-elements	1869	Periodic table of the elements	Arranging elements in order of increasing atomic weight, Mendeleev allowed the length of periods to vary according to the properties of elements, creating a table that predicted undiscovered elements. His periodic table became the foundation for modern chemistry, providing a systematic way to understand element properties and interactions.	Dmitry Ivanovich Mendeleyev	Russia	law-of-octaves	Science:Chemistry	In Mendeleev's original periodic table of 1871, the periods were listed vertically and groups horizontally, with elements arranged by increasing atomic weight. He predicted the existence and properties of then-undiscovered elements by leaving gaps, some of which were later filled by actual discoveries such as eka-silicon (germanium). This new organization allowed for periodic trends and valences to be more apparent, leading to a comprehensive understanding of chemical properties and behaviors.		
nucleic-acid	1869	Nucleic acid	A substance was isolated from cell remnants that did not belong to the known classes of carbohydrates, fats, or proteins. This substance was later identified as nucleic acid and contained nitrogen and phosphorus.	Johann Friedrich Miescher	Switzerland	food-classification	Science:Biology	The classification of foodstuffs into carbohydrates, fats, and proteins was satisfactory until 1869. In that year, a Swiss biochemist isolated a substance in cell nuclei, named 'nuclein', that contained nitrogen and phosphorus and did not belong to any known classes of foodstuffs. The true importance of nuclein, later known as nucleic acid, was appreciated when it was revealed as essential to the cell's functions.		
critical-temperature	1869	Critical temperature	An Irish physical chemist determined the specific temperature above which gas cannot be liquefied by pressure alone. This concept became essential for chemists working with permanent gases.	Thomas Andrews	Ireland	permanent-gases	Science:Physics	An Irish physical chemist studied the liquefaction of gases, particularly carbon dioxide. He discovered that as the temperature rose, more pressure was needed to liquefy it until it reached a critical temperature at which only lower temperatures could enable liquefaction. This critical temperature was crucial for chemists dealing with so-called permanent gases.		
biogeography	1869	Biogeography	A naturalist developed the concept separating animal species of Australia and Asia, marking a distinct ecological divide that laid the foundations of biogeography. "Wallace's line" drew a clear separation between the evolutionary paths of species on the two continents.	Alfred Russel Wallace	England	evolution-by-natural-selection	Science:Geography	A naturalist noticed significant differences between the animal species of Australia and Asia, leading him to delineate a boundary, known as Wallace's line, which separates these two distinct groups. This realization laid the groundwork for the science of biogeography, which explores the distribution of species and ecosystems in geographic space and through geological time.		
islets-of-langerhans	1869	Islets of langerhans	A German physician identified clusters of cells within the pancreas that produce hormones essential for regulating blood sugar levels. These clusters were named the Islets of Langerhans after their discoverer.	Paul Langerhans	Germany	diabetes	Science:Biology	A German physician, while studying the microscopic structure of the pancreas, identified numerous small, distinct clusters of cells. These cell clusters, later named Islets of Langerhans, were found to play a crucial role in producing hormones that regulate blood sugar levels, significantly advancing the understanding of endocrine pancreas function.		
celluloid	1869	Celluloid	Celluloid is the first commercially successful plastic, made from pyroxylin and used for various materials like baby rattles, shirt collars, and photographic film. Its light, flexible, and waterproof properties greatly impacted the manufacturing of household items despite its flammability.	John Wesley Hyatt	United States	pyroxylin	Science: Chemistry	Celluloid is a type of plastic material originally made from pyroxylin. It was invented to find a cheaper alternative to ivory for billiard balls. Although it did not win the prize for this purpose, it found practical applications in various products due to its light, flexible, waterproof, and easy-to-clean properties. However, its flammable nature was a significant drawback. Regardless, it marked the advent of commercially viable plastics.		
stock-ticker	1869	Stock ticker	The stock ticker, a telegraph machine for transmitting gold prices, revolutionized financial communication by providing real-time stock market information. It played a significant role in the efficiency and effectiveness of financial trading.	Thomas Alva Edison	United States	telegraph	Design	The stock ticker was invented by Thomas Alva Edison after observing the inefficient methods in a broker's office. This telegraph machine transmitted gold prices and other stock information, allowing investors to receive timely updates. The invention of the stock ticker dramatically improved the speed and reliability of financial transactions, making a lasting impact on Wall Street and the financial industry.		
